Day,Weather,PricePerGlass,SignsMade,GlassesMade,GlassesSold,Profit,Assets,Storm,StreetCrewWorking,StreetCrewThirsty,WeatherFactor,ChanceOfRain,BaseDemand,SignBenefit,DemandMultiplier,AdjUnits,CostPerGlass,CostPerSign,Income,Expenses
35,Sunny,6,9,123,0,-7.5,-72.07,False,True,False,0.1,0,39.6,0.9888910034617577,0.1988891003461758,0,5,0.15,0.0,7.5
36,Cloudy,4,3,83,23,-3.6800000000000006,-75.75,False,False,False,0.30000000000000004,70,44.4,0.7768698398515702,0.5330609519554711,23,5,0.15,0.92,4.6000000000000005
37,Sunny,10,4,57,55,2.05,-73.7,False,False,False,1.0,0,30.0,0.8646647167633873,1.8646647167633872,55,5,0.15,5.5,3.45
38,Cloudy,2,5,77,66,-3.2799999999999994,-76.98,False,False,False,0.7,30,49.2,0.9179150013761012,1.3425405009632707,66,5,0.15,1.32,4.6
39,Hot,7,9,110,110,0.8500000000000005,-76.13000000000001,False,False,False,2.0,0,37.2,0.9888910034617577,3.9777820069235155,147,5,0.15,7.7,6.85
40,Hot,7,6,47,47,0.040000000000000036,-76.09,False,False,False,2.0,0,37.2,0.950212931632136,3.900425863264272,145,5,0.15,3.29,3.25
41,Hot,4,8,78,78,-1.9799999999999995,-78.07000000000001,False,False,False,2.0,0,44.4,0.9816843611112658,3.9633687222225316,175,5,0.15,3.12,5.1
42,Hot,13,8,24,24,0.7200000000000002,-77.35000000000001,False,False,False,2.0,0,17.75147928994083,0.9816843611112658,3.9633687222225316,70,5,0.15,3.12,2.4
43,Cloudy,13,9,49,10,-2.5,-79.85000000000001,False,False,False,0.30000000000000004,70,17.75147928994083,0.9888910034617577,0.5966673010385274,10,5,0.15,1.3,3.8
44,Sunny,5,8,131,83,-3.5999999999999996,-83.45,False,False,False,1.0,0,42.0,0.9816843611112658,1.9816843611112658,83,5,0.15,4.15,7.75
45,Sunny,4,2,87,0,-4.6499999999999995,-88.10000000000001,False,True,False,0.1,0,44.4,0.6321205588285577,0.16321205588285578,0,5,0.15,0.0,4.6499999999999995
46,Sunny,8,0,69,34,-0.73,-88.83000000000001,False,False,False,1.0,0,34.8,0.0,1.0,34,5,0.15,2.72,3.45
47,Sunny,4,5,142,0,-7.85,-96.68,False,True,False,0.1,0,44.4,0.9179150013761012,0.19179150013761015,0,5,0.15,0.0,7.85
48,Cloudy,10,3,37,37,1.4000000000000004,-95.28,False,False,False,0.7,30,30.0,0.7768698398515702,1.243808887896099,37,5,0.15,3.7,2.3
49,Sunny,6,3,77,70,-0.09999999999999964,-95.38,False,False,False,1.0,0,39.6,0.7768698398515702,1.77686983985157,70,5,0.15,4.2,4.3
50,Sunny,7,5,145,71,-3.0300000000000002,-98.41,False,False,False,1.0,0,37.2,0.9179150013761012,1.9179150013761013,71,5,0.15,4.97,8.0
51,Cloudy,8,6,116,0,-6.699999999999999,-105.11,True,False,False,0.5,50,34.8,0.950212931632136,0.975106465816068,0,5,0.15,0.0,6.699999999999999
52,Sunny,8,7,145,0,-8.3,-113.41,False,True,False,0.1,0,34.8,0.9698026165776815,0.19698026165776816,0,5,0.15,0.0,8.3
53,Sunny,11,5,36,36,1.4100000000000001,-112.0,False,False,False,1.0,0,24.793388429752067,0.9179150013761012,1.9179150013761013,47,5,0.15,3.96,2.55
54,Sunny,6,4,118,73,-2.12,-114.12,False,False,False,1.0,0,39.6,0.8646647167633873,1.8646647167633872,73,5,0.15,4.38,6.5
55,Sunny,11,7,125,48,-2.0199999999999996,-116.14,False,False,False,1.0,0,24.793388429752067,0.9698026165776815,1.9698026165776814,48,5,0.15,5.28,7.3
56,Sunny,3,6,91,91,-2.7199999999999993,-118.86,False,False,False,1.0,0,46.8,0.950212931632136,1.950212931632136,91,5,0.15,2.73,5.449999999999999
57,Sunny,4,6,135,86,-4.210000000000001,-123.07,False,False,False,1.0,0,44.4,0.950212931632136,1.950212931632136,86,5,0.15,3.44,7.65
58,Cloudy,0,5,32,32,-2.35,-125.41999999999999,False,False,False,0.6,40,54.0,0.9179150013761012,1.1507490008256607,62,5,0.15,0.0,2.35
59,Cloudy,12,7,5,5,-0.7000000000000001,-126.11999999999999,False,False,False,0.7,30,20.833333333333332,0.9698026165776815,1.3788618316043768,28,5,0.15,0.6,1.3
60,Sunny,2,7,21,21,-1.6800000000000002,-127.8,False,False,False,1.0,0,49.2,0.9698026165776815,1.9698026165776814,96,5,0.15,0.42,2.1
61,Hot,13,3,107,63,2.3899999999999997,-125.41,False,False,False,2.0,0,17.75147928994083,0.7768698398515702,3.55373967970314,63,5,0.15,8.19,5.8
62,Hot,9,2,108,105,3.749999999999999,-121.66,False,False,False,2.0,0,32.4,0.6321205588285577,3.2642411176571153,105,5,0.15,9.45,5.7
63,Hot,12,5,70,70,4.15,-117.50999999999999,False,False,False,2.0,0,20.833333333333332,0.9179150013761012,3.8358300027522025,79,5,0.15,8.4,4.25
64,Cloudy,13,5,112,20,-3.7499999999999996,-121.25999999999999,False,False,False,0.6,40,17.75147928994083,0.9179150013761012,1.1507490008256607,20,5,0.15,2.6,6.35
65,Hot,12,4,49,49,2.8299999999999996,-118.42999999999999,False,False,False,2.0,0,20.833333333333332,0.8646647167633873,3.7293294335267744,77,5,0.15,5.88,3.0500000000000003
66,Cloudy,2,8,117,29,-6.47,-124.89999999999999,False,False,False,0.30000000000000004,70,49.2,0.9816843611112658,0.5945053083333798,29,5,0.15,0.58,7.05
67,Sunny,1,1,65,65,-2.75,-127.64999999999999,False,False,False,1.0,0,51.6,0.3934693402873666,1.3934693402873666,71,5,0.15,0.65,3.4
68,Sunny,11,5,54,47,1.7199999999999998,-125.92999999999999,False,False,False,1.0,0,24.793388429752067,0.9179150013761012,1.9179150013761013,47,5,0.15,5.17,3.45
69,Cloudy,12,3,49,14,-1.2200000000000004,-127.14999999999999,False,False,False,0.4,60,20.833333333333332,0.7768698398515702,0.7107479359406281,14,5,0.15,1.68,2.9000000000000004
70,Sunny,7,4,38,38,0.16000000000000014,-126.99,False,False,False,1.0,0,37.2,0.8646647167633873,1.8646647167633872,69,5,0.15,2.66,2.5
71,Hot,0,5,146,146,-8.05,-135.04,False,False,False,2.0,0,54.0,0.9179150013761012,3.8358300027522025,207,5,0.15,0.0,8.05
72,Hot,6,7,92,92,-0.1299999999999999,-135.17,False,False,False,2.0,0,39.6,0.9698026165776815,3.939605233155363,156,5,0.15,5.52,5.6499999999999995
73,Cloudy,6,1,133,38,-4.520000000000001,-139.69,False,False,False,0.7,30,39.6,0.3934693402873666,0.9754285382011565,38,5,0.15,2.28,6.800000000000001
74,Sunny,6,5,93,75,-0.9000000000000004,-140.59,False,False,False,1.0,0,39.6,0.9179150013761012,1.9179150013761013,75,5,0.15,4.5,5.4
75,Cloudy,9,0,129,0,-6.45,-147.04,True,False,False,0.30000000000000004,70,32.4,0.0,0.30000000000000004,0,5,0.15,0.0,6.45
76,Sunny,0,1,26,26,-1.45,-148.48999999999998,False,False,True,1.0,0,54.0,0.3934693402873666,1.3934693402873666,75,5,0.15,0.0,1.45
77,Cloudy,3,7,120,46,-5.67,-154.15999999999997,False,False,False,0.5,50,46.8,0.9698026165776815,0.9849013082888407,46,5,0.15,1.38,7.05
78,Sunny,2,2,63,63,-2.1899999999999995,-156.34999999999997,False,False,True,1.0,0,49.2,0.6321205588285577,1.6321205588285577,80,5,0.15,1.26,3.4499999999999997
79,Sunny,13,3,111,0,-6.0,-162.34999999999997,False,True,False,0.1,0,17.75147928994083,0.7768698398515702,0.17768698398515703,0,5,0.15,0.0,6.0
80,Sunny,8,6,31,31,0.029999999999999805,-162.31999999999996,False,False,False,1.0,0,34.8,0.950212931632136,1.950212931632136,67,5,0.15,2.48,2.45
81,Sunny,2,0,70,49,-2.52,-164.83999999999997,False,False,False,1.0,0,49.2,0.0,1.0,49,5,0.15,0.98,3.5
82,Sunny,4,7,94,0,-5.75,-170.58999999999997,False,True,False,0.1,0,44.4,0.9698026165776815,0.19698026165776816,0,5,0.15,0.0,5.75
83,Sunny,1,2,31,31,-1.54,-172.12999999999997,False,False,False,1.0,0,51.6,0.6321205588285577,1.6321205588285577,84,5,0.15,0.31,1.85
84,Sunny,10,5,67,57,1.6000000000000005,-170.52999999999997,False,False,False,1.0,0,30.0,0.9179150013761012,1.9179150013761013,57,5,0.15,5.7,4.1
85,Hot,3,4,52,52,-1.6400000000000001,-172.16999999999996,False,False,False,2.0,0,46.8,0.8646647167633873,3.7293294335267744,174,5,0.15,1.56,3.2
86,Sunny,12,7,35,0,-2.8,-174.96999999999997,False,True,False,0.1,0,20.833333333333332,0.9698026165776815,0.19698026165776816,0,5,0.15,0.0,2.8
87,Cloudy,1,8,62,0,-4.3,-179.26999999999998,True,False,False,0.30000000000000004,70,51.6,0.9816843611112658,0.5945053083333798,0,5,0.15,0.0,4.3
88,Sunny,1,7,102,0,-6.1499999999999995,-185.42,False,True,False,0.1,0,51.6,0.9698026165776815,0.19698026165776816,0,5,0.15,0.0,6.1499999999999995
89,Cloudy,12,4,60,15,-1.8,-187.22,False,False,False,0.4,60,20.833333333333332,0.8646647167633873,0.7458658867053549,15,5,0.15,1.8,3.6
90,Hot,1,6,113,113,-5.420000000000001,-192.64,False,False,False,2.0,0,51.6,0.950212931632136,3.900425863264272,201,5,0.15,1.13,6.550000000000001
91,Sunny,5,5,31,31,-0.7499999999999998,-193.39,False,False,False,1.0,0,42.0,0.9179150013761012,1.9179150013761013,80,5,0.15,1.55,2.3
92,Hot,4,3,110,110,-1.5499999999999998,-194.94,False,False,False,2.0,0,44.4,0.7768698398515702,3.55373967970314,157,5,0.15,4.4,5.95
93,Cloudy,10,2,36,34,1.2999999999999998,-193.64,False,False,False,0.7,30,30.0,0.6321205588285577,1.1424843911799902,34,5,0.15,3.4,2.1
94,Sunny,5,4,15,15,-0.6000000000000001,-194.23999999999998,False,False,False,1.0,0,42.0,0.8646647167633873,1.8646647167633872,78,5,0.15,0.75,1.35
95,Hot,5,2,76,76,-0.2999999999999998,-194.54,False,False,False,2.0,0,42.0,0.6321205588285577,3.2642411176571153,137,5,0.15,3.8,4.1
96,Cloudy,10,6,14,14,-0.19999999999999996,-194.73999999999998,False,False,False,0.4,60,30.0,0.950212931632136,0.7800851726528544,23,5,0.15,1.4,1.5999999999999999
97,Sunny,4,3,73,73,-1.1799999999999997,-195.92,False,False,True,1.0,0,44.4,0.7768698398515702,1.77686983985157,78,5,0.15,2.92,4.1
98,Sunny,6,2,100,64,-1.46,-197.38,False,False,False,1.0,0,39.6,0.6321205588285577,1.6321205588285577,64,5,0.15,3.84,5.3
99,Cloudy,5,5,69,48,-1.8000000000000003,-199.18,False,False,False,0.6,40,42.0,0.9179150013761012,1.1507490008256607,48,5,0.15,2.4,4.2
100,Cloudy,3,4,114,26,-5.52,-204.70000000000002,False,False,False,0.30000000000000004,70,46.8,0.8646647167633873,0.5593994150290162,26,5,0.15,0.78,6.3
101,Sunny,11,2,7,7,0.1200000000000001,-204.58,False,False,False,1.0,0,24.793388429752067,0.6321205588285577,1.6321205588285577,40,5,0.15,0.77,0.6499999999999999
102,Sunny,9,5,83,62,0.6799999999999997,-203.9,False,False,False,1.0,0,32.4,0.9179150013761012,1.9179150013761013,62,5,0.15,5.58,4.9
103,Hot,11,9,49,49,1.5899999999999999,-202.31,False,False,False,2.0,0,24.793388429752067,0.9888910034617577,3.9777820069235155,98,5,0.15,5.39,3.8
104,Sunny,12,1,83,29,-0.8200000000000007,-203.13,False,False,False,1.0,0,20.833333333333332,0.3934693402873666,1.3934693402873666,29,5,0.15,3.48,4.300000000000001
105,Cloudy,13,4,82,16,-2.619999999999999,-205.75,False,False,False,0.5,50,17.75147928994083,0.8646647167633873,0.9323323583816936,16,5,0.15,2.08,4.699999999999999
106,Sunny,1,0,58,51,-2.3899999999999997,-208.14,False,False,False,1.0,0,51.6,0.0,1.0,51,5,0.15,0.51,2.9
107,Hot,13,7,67,67,4.3100000000000005,-203.82999999999998,False,False,False,2.0,0,17.75147928994083,0.9698026165776815,3.939605233155363,69,5,0.15,8.71,4.4
108,Cloudy,0,0,55,27,-2.75,-206.57999999999998,False,False,False,0.5,50,54.0,0.0,0.5,27,5,0.15,0.0,2.75
109,Sunny,2,1,149,68,-6.24,-212.82,False,False,False,1.0,0,49.2,0.3934693402873666,1.3934693402873666,68,5,0.15,1.36,7.6000000000000005
110,Cloudy,9,9,73,45,-0.9500000000000002,-213.76999999999998,False,False,False,0.7,30,32.4,0.9888910034617577,1.3922237024232302,45,5,0.15,4.05,5.0
111,Sunny,3,3,34,34,-1.13,-214.89999999999998,False,False,False,1.0,0,46.8,0.7768698398515702,1.77686983985157,83,5,0.15,1.02,2.15
112,Sunny,7,7,119,73,-1.8899999999999997,-216.78999999999996,False,False,False,1.0,0,37.2,0.9698026165776815,1.9698026165776814,73,5,0.15,5.11,7.0
113,Cloudy,7,2,66,0,-3.5999999999999996,-220.38999999999996,True,False,False,0.5,50,37.2,0.6321205588285577,0.8160602794142788,0,5,0.15,0.0,3.5999999999999996
114,Sunny,4,8,111,87,-3.27,-223.65999999999997,False,False,True,1.0,0,44.4,0.9816843611112658,1.9816843611112658,87,5,0.15,3.48,6.75
115,Sunny,0,1,144,0,-7.3500000000000005,-231.00999999999996,False,True,False,0.1,0,54.0,0.3934693402873666,0.13934693402873666,0,5,0.15,0.0,7.3500000000000005
116,Sunny,13,8,75,35,-0.40000000000000036,-231.40999999999997,False,False,True,1.0,0,17.75147928994083,0.9816843611112658,1.9816843611112658,35,5,0.15,4.55,4.95
117,Sunny,10,1,135,41,-2.8000000000000007,-234.20999999999998,False,False,False,1.0,0,30.0,0.3934693402873666,1.3934693402873666,41,5,0.15,4.1,6.9
118,Hot,10,0,17,17,0.85,-233.35999999999999,False,False,False,2.0,0,30.0,0.0,2.0,60,5,0.15,1.7,0.85
119,Sunny,2,7,89,89,-3.7199999999999998,-237.07999999999998,False,True,True,0.1,0,49.2,0.9698026165776815,0.19698026165776816,89,5,0.15,1.78,5.5
120,Sunny,2,4,0,0,-0.6,-237.67999999999998,False,False,False,1.0,0,49.2,0.8646647167633873,1.8646647167633872,91,5,0.15,0.0,0.6
121,Sunny,2,8,84,84,-3.7200000000000006,-241.39999999999998,False,False,False,1.0,0,49.2,0.9816843611112658,1.9816843611112658,97,5,0.15,1.68,5.4
122,Sunny,2,0,77,49,-2.87,-244.26999999999998,False,False,False,1.0,0,49.2,0.0,1.0,49,5,0.15,0.98,3.85
123,Hot,7,6,114,114,1.3800000000000008,-242.89,False,False,False,2.0,0,37.2,0.950212931632136,3.900425863264272,145,5,0.15,7.98,6.6
124,Sunny,5,4,109,78,-2.15,-245.04,False,False,False,1.0,0,42.0,0.8646647167633873,1.8646647167633872,78,5,0.15,3.9,6.05
125,Cloudy,9,1,103,31,-2.5100000000000007,-247.54999999999998,False,False,False,0.7,30,32.4,0.3934693402873666,0.9754285382011565,31,5,0.15,2.79,5.300000000000001
126,Sunny,13,6,68,34,0.1200000000000001,-247.42999999999998,False,False,True,1.0,0,17.75147928994083,0.950212931632136,1.950212931632136,34,5,0.15,4.42,4.3
127,Sunny,5,2,147,68,-4.25,-251.67999999999998,False,False,True,1.0,0,42.0,0.6321205588285577,1.6321205588285577,68,5,0.15,3.4,7.6499999999999995
128,Sunny,7,7,93,73,-0.5899999999999999,-252.26999999999998,False,False,False,1.0,0,37.2,0.9698026165776815,1.9698026165776814,73,5,0.15,5.11,5.7
129,Cloudy,10,2,4,4,-0.09999999999999998,-252.36999999999998,False,False,False,0.7,30,30.0,0.6321205588285577,1.1424843911799902,34,5,0.15,0.4,0.5
130,Hot,1,4,12,12,-1.08,-253.45,False,False,False,2.0,0,51.6,0.8646647167633873,3.7293294335267744,192,5,0.15,0.12,1.2
131,Hot,10,6,92,92,3.6999999999999993,-249.75,False,False,False,2.0,0,30.0,0.950212931632136,3.900425863264272,117,5,0.15,9.2,5.5
132,Sunny,5,8,148,83,-4.449999999999999,-254.2,False,False,False,1.0,0,42.0,0.9816843611112658,1.9816843611112658,83,5,0.15,4.15,8.6
133,Sunny,13,7,4,4,-0.73,-254.92999999999998,False,False,False,1.0,0,17.75147928994083,0.9698026165776815,1.9698026165776814,34,5,0.15,0.52,1.25
134,Sunny,6,0,136,39,-4.46,-259.39,False,False,False,1.0,0,39.6,0.0,1.0,39,5,0.15,2.34,6.8
135,Sunny,1,1,53,53,-2.2699999999999996,-261.65999999999997,False,False,False,1.0,0,51.6,0.3934693402873666,1.3934693402873666,71,5,0.15,0.53,2.8
136,Cloudy,0,8,118,64,-7.1000000000000005,-268.76,False,False,False,0.6,40,54.0,0.9816843611112658,1.1890106166667593,64,5,0.15,0.0,7.1000000000000005
137,Sunny,6,8,106,0,-6.5,-275.26,False,True,False,0.1,0,39.6,0.9816843611112658,0.19816843611112658,0,5,0.15,0.0,6.5
138,Sunny,3,8,51,51,-2.2199999999999998,-277.48,False,False,False,1.0,0,46.8,0.9816843611112658,1.9816843611112658,92,5,0.15,1.53,3.75
139,Sunny,0,3,80,80,-4.45,-281.93,False,False,False,1.0,0,54.0,0.7768698398515702,1.77686983985157,95,5,0.15,0.0,4.45
140,Sunny,4,5,72,72,-1.4699999999999998,-283.40000000000003,False,False,False,1.0,0,44.4,0.9179150013761012,1.9179150013761013,85,5,0.15,2.88,4.35
141,Sunny,0,7,116,106,-6.85,-290.25000000000006,False,False,False,1.0,0,54.0,0.9698026165776815,1.9698026165776814,106,5,0.15,0.0,6.85
142,Sunny,3,4,44,0,-2.8000000000000003,-293.05000000000007,False,True,False,0.1,0,46.8,0.8646647167633873,0.18646647167633873,0,5,0.15,0.0,2.8000000000000003
143,Sunny,10,7,5,5,-0.8,-293.8500000000001,False,False,False,1.0,0,30.0,0.9698026165776815,1.9698026165776814,59,5,0.15,0.5,1.3
144,Sunny,8,5,38,38,0.3900000000000001,-293.4600000000001,False,False,False,1.0,0,34.8,0.9179150013761012,1.9179150013761013,66,5,0.15,3.04,2.65
145,Hot,6,7,110,110,0.04999999999999982,-293.4100000000001,False,False,False,2.0,0,39.6,0.9698026165776815,3.939605233155363,156,5,0.15,6.6,6.55
146,Cloudy,7,5,10,10,-0.55,-293.9600000000001,False,False,False,0.5,50,37.2,0.9179150013761012,0.9589575006880506,35,5,0.15,0.7,1.25
147,Cloudy,6,5,119,0,-6.7,-300.6600000000001,True,False,False,0.7,30,39.6,0.9179150013761012,1.3425405009632707,0,5,0.15,0.0,6.7
148,Sunny,0,4,43,43,-2.75,-303.4100000000001,False,False,False,1.0,0,54.0,0.8646647167633873,1.8646647167633872,100,5,0.15,0.0,2.75
149,Sunny,3,8,27,27,-1.7399999999999998,-305.1500000000001,False,False,False,1.0,0,46.8,0.9816843611112658,1.9816843611112658,92,5,0.15,0.81,2.55
150,Cloudy,9,0,123,0,-6.15,-311.30000000000007,True,False,False,0.5,50,32.4,0.0,0.5,0,5,0.15,0.0,6.15
151,Sunny,1,0,99,0,-4.95,-316.25000000000006,False,True,False,0.1,0,51.6,0.0,0.1,0,5,0.15,0.0,4.95
152,Sunny,2,8,18,18,-1.7400000000000002,-317.99000000000007,False,False,False,1.0,0,49.2,0.9816843611112658,1.9816843611112658,97,5,0.15,0.36,2.1
153,Sunny,13,0,12,12,0.9600000000000001,-317.0300000000001,False,False,False,1.0,0,17.75147928994083,0.0,1.0,17,5,0.15,1.56,0.6
154,Sunny,3,6,47,0,-3.25,-320.2800000000001,False,True,False,0.1,0,46.8,0.950212931632136,0.1950212931632136,0,5,0.15,0.0,3.25
155,Sunny,5,3,2,2,-0.44999999999999996,-320.7300000000001,False,False,False,1.0,0,42.0,0.7768698398515702,1.77686983985157,74,5,0.15,0.1,0.5499999999999999
156,Sunny,8,8,60,60,0.5999999999999996,-320.13000000000005,False,False,False,1.0,0,34.8,0.9816843611112658,1.9816843611112658,68,5,0.15,4.8,4.2
157,Hot,0,4,110,110,-6.1,-326.2300000000001,False,False,False,2.0,0,54.0,0.8646647167633873,3.7293294335267744,201,5,0.15,0.0,6.1
158,Sunny,4,9,22,22,-1.5700000000000003,-327.80000000000007,False,False,False,1.0,0,44.4,0.9888910034617577,1.9888910034617577,88,5,0.15,0.88,2.45
159,Cloudy,2,9,19,0,-2.3,-330.1000000000001,True,False,False,0.5,50,49.2,0.9888910034617577,0.9944455017308789,0,5,0.15,0.0,2.3
160,Sunny,12,0,82,20,-1.6999999999999997,-331.80000000000007,False,False,False,1.0,0,20.833333333333332,0.0,1.0,20,5,0.15,2.4,4.1
161,Sunny,9,8,114,64,-1.1400000000000006,-332.94000000000005,False,False,False,1.0,0,32.4,0.9816843611112658,1.9816843611112658,64,5,0.15,5.76,6.9
162,Sunny,10,7,138,59,-2.05,-334.99000000000007,False,False,True,1.0,0,30.0,0.9698026165776815,1.9698026165776814,59,5,0.15,5.9,7.95
163,Sunny,2,9,26,26,-2.13,-337.12000000000006,False,False,False,1.0,0,49.2,0.9888910034617577,1.9888910034617577,97,5,0.15,0.52,2.65
164,Cloudy,3,5,8,8,-0.9099999999999999,-338.0300000000001,False,False,False,0.4,60,46.8,0.9179150013761012,0.7671660005504406,35,5,0.15,0.24,1.15
165,Sunny,6,3,134,70,-2.95,-340.9800000000001,False,False,False,1.0,0,39.6,0.7768698398515702,1.77686983985157,70,5,0.15,4.2,7.15
166,Sunny,11,6,83,0,-5.050000000000001,-346.0300000000001,False,True,False,0.1,0,24.793388429752067,0.950212931632136,0.1950212931632136,0,5,0.15,0.0,5.050000000000001
167,Sunny,3,4,76,0,-4.3999999999999995,-350.43000000000006,False,True,False,0.1,0,46.8,0.8646647167633873,0.18646647167633873,0,5,0.15,0.0,4.3999999999999995
168,Sunny,7,6,102,72,-0.96,-351.39000000000004,False,False,False,1.0,0,37.2,0.950212931632136,1.950212931632136,72,5,0.15,5.04,6.0
169,Sunny,6,8,127,78,-2.87,-354.26000000000005,False,False,False,1.0,0,39.6,0.9816843611112658,1.9816843611112658,78,5,0.15,4.68,7.55
