Day,Weather,PricePerGlass,SignsMade,GlassesMade,GlassesSold,Profit,Assets,Storm,StreetCrewWorking,StreetCrewThirsty,WeatherFactor,MarketingFactor,DemandMultiplier,AdjDemand,ChanceOfRain,BaseDemand,CostPerGlass,CostPerSign,Income,Expenses
24,Sunny,7,2,49,0,-2.75,-0.3799999999999888,False,True,False,0.1,1.6321205588285577,0.16321205588285578,0,0,37.2,5,0.15,0.0,2.75
25,Hot,10,6,66,66,2.4000000000000004,2.0200000000000116,False,False,False,2.0,1.950212931632136,3.900425863264272,117,0,30.0,5,0.15,6.6,4.199999999999999
26,Sunny,10,3,44,44,1.75,3.7700000000000116,False,False,False,1.0,1.77686983985157,1.77686983985157,53,0,30.0,5,0.15,4.4,2.6500000000000004
27,Sunny,10,3,40,0,-2.45,1.3200000000000114,False,True,False,0.1,1.77686983985157,0.17768698398515703,0,0,30.0,5,0.15,0.0,2.45
28,Sunny,9,0,40,32,0.8799999999999999,2.2000000000000113,False,False,False,1.0,1.0,1.0,32,0,32.4,5,0.15,2.88,2.0
29,Sunny,6,1,46,46,0.31000000000000005,2.5100000000000113,False,False,False,1.0,1.3934693402873666,1.3934693402873666,55,0,39.6,5,0.15,2.76,2.4499999999999997
30,Sunny,11,1,50,34,1.0900000000000003,3.6000000000000116,False,False,False,1.0,1.3934693402873666,1.3934693402873666,34,0,24.793388429752067,5,0.15,3.74,2.65
31,Sunny,7,2,58,58,0.8599999999999999,4.4600000000000115,False,False,False,1.0,1.6321205588285577,1.6321205588285577,60,0,37.2,5,0.15,4.06,3.1999999999999997
32,Sunny,10,5,45,0,-3.0,1.4600000000000115,False,True,False,0.1,1.9179150013761013,0.19179150013761015,0,0,30.0,5,0.15,0.0,3.0
33,Sunny,10,2,46,46,2.0,3.4600000000000115,False,False,False,1.0,1.6321205588285577,1.6321205588285577,48,0,30.0,5,0.15,4.6,2.5999999999999996
34,Cloudy,7,1,14,14,0.13,3.5900000000000114,False,False,False,0.30000000000000004,1.3934693402873666,0.41804080208621003,15,70,37.2,5,0.15,0.98,0.85
35,Sunny,6,2,43,43,0.13000000000000034,3.7200000000000117,False,True,True,0.1,1.6321205588285577,0.16321205588285578,43,0,39.6,5,0.15,2.58,2.4499999999999997
36,Hot,8,5,156,133,2.09,5.810000000000011,False,False,False,2.0,1.9179150013761013,3.8358300027522025,133,0,34.8,5,0.15,10.64,8.55
37,Sunny,6,2,58,58,0.28000000000000025,6.090000000000011,False,False,False,1.0,1.6321205588285577,1.6321205588285577,64,0,39.6,5,0.15,3.48,3.1999999999999997
38,Hot,8,2,77,77,2.01,8.100000000000012,False,False,False,2.0,1.6321205588285577,3.2642411176571153,113,0,34.8,5,0.15,6.16,4.15
39,Cloudy,8,3,48,30,-0.44999999999999973,7.650000000000013,False,False,False,0.5,1.77686983985157,0.888434919925785,30,50,34.8,5,0.15,2.4,2.8499999999999996
40,Sunny,8,4,54,54,1.02,8.670000000000012,False,False,False,1.0,1.8646647167633872,1.8646647167633872,64,0,34.8,5,0.15,4.32,3.3000000000000003
41,Sunny,7,3,44,44,0.4299999999999997,9.100000000000012,False,False,False,1.0,1.77686983985157,1.77686983985157,66,0,37.2,5,0.15,3.08,2.6500000000000004
42,Hot,13,2,75,57,3.3600000000000003,12.460000000000012,False,False,False,2.0,1.6321205588285577,3.2642411176571153,57,0,17.75147928994083,5,0.15,7.41,4.05
43,Sunny,6,1,56,55,0.3500000000000001,12.810000000000011,False,False,False,1.0,1.3934693402873666,1.3934693402873666,55,0,39.6,5,0.15,3.3,2.9499999999999997
44,Hot,8,0,106,69,0.21999999999999975,13.030000000000012,False,False,False,2.0,1.0,2.0,69,0,34.8,5,0.15,5.52,5.3
45,Sunny,8,2,57,56,1.3300000000000005,14.360000000000012,False,False,False,1.0,1.6321205588285577,1.6321205588285577,56,0,34.8,5,0.15,4.48,3.15
46,Sunny,10,3,59,0,-3.4000000000000004,10.960000000000012,False,True,False,0.1,1.77686983985157,0.17768698398515703,0,0,30.0,5,0.15,0.0,3.4000000000000004
47,Sunny,8,0,47,34,0.3700000000000001,11.330000000000013,False,False,False,1.0,1.0,1.0,34,0,34.8,5,0.15,2.72,2.35
48,Sunny,7,2,59,0,-3.25,8.080000000000013,False,True,False,0.1,1.6321205588285577,0.16321205588285578,0,0,37.2,5,0.15,0.0,3.25
49,Hot,14,5,136,58,0.5699999999999994,8.650000000000013,False,False,False,2.0,1.9179150013761013,3.8358300027522025,58,0,15.306122448979592,5,0.15,8.12,7.55
50,Sunny,8,1,59,48,0.7399999999999998,9.390000000000013,False,False,False,1.0,1.3934693402873666,1.3934693402873666,48,0,34.8,5,0.15,3.84,3.1
51,Sunny,11,5,50,47,1.92,11.310000000000013,False,False,True,1.0,1.9179150013761013,1.9179150013761013,47,0,24.793388429752067,5,0.15,5.17,3.25
52,Sunny,9,4,58,58,1.7199999999999998,13.030000000000012,False,True,True,0.1,1.8646647167633872,0.18646647167633873,58,0,32.4,5,0.15,5.22,3.5
53,Sunny,9,4,56,56,1.6400000000000001,14.670000000000012,False,False,False,1.0,1.8646647167633872,1.8646647167633872,60,0,32.4,5,0.15,5.04,3.4
54,Sunny,9,5,40,40,0.8500000000000001,15.520000000000012,False,False,False,1.0,1.9179150013761013,1.9179150013761013,62,0,32.4,5,0.15,3.6,2.75
55,Sunny,11,1,48,34,1.1900000000000004,16.71000000000001,False,False,False,1.0,1.3934693402873666,1.3934693402873666,34,0,24.793388429752067,5,0.15,3.74,2.55
56,Sunny,8,4,41,0,-2.65,14.060000000000011,False,True,False,0.1,1.8646647167633872,0.18646647167633873,0,0,34.8,5,0.15,0.0,2.65
57,Sunny,6,3,47,47,0.020000000000000018,14.08000000000001,False,False,False,1.0,1.77686983985157,1.77686983985157,70,0,39.6,5,0.15,2.82,2.8
58,Hot,8,3,134,123,2.6899999999999995,16.77000000000001,False,False,False,2.0,1.77686983985157,3.55373967970314,123,0,34.8,5,0.15,9.84,7.15
59,Sunny,6,2,45,45,0.15000000000000036,16.92000000000001,False,False,False,1.0,1.6321205588285577,1.6321205588285577,64,0,39.6,5,0.15,2.7,2.55
60,Hot,12,3,145,74,1.1800000000000006,18.10000000000001,False,False,False,2.0,1.77686983985157,3.55373967970314,74,0,20.833333333333332,5,0.15,8.88,7.7
61,Sunny,9,3,47,47,1.4300000000000006,19.53000000000001,False,False,False,1.0,1.77686983985157,1.77686983985157,57,0,32.4,5,0.15,4.23,2.8
62,Sunny,9,3,52,52,1.63,21.160000000000007,False,True,True,0.1,1.77686983985157,0.17768698398515703,52,0,32.4,5,0.15,4.68,3.05
63,Sunny,8,1,54,48,0.9899999999999998,22.150000000000006,False,False,False,1.0,1.3934693402873666,1.3934693402873666,48,0,34.8,5,0.15,3.84,2.85
64,Sunny,7,1,53,51,0.77,22.920000000000005,False,False,False,1.0,1.3934693402873666,1.3934693402873666,51,0,37.2,5,0.15,3.57,2.8
65,Hot,14,0,71,30,0.6500000000000004,23.570000000000007,False,False,False,2.0,1.0,2.0,30,0,15.306122448979592,5,0.15,4.2,3.55
66,Sunny,7,4,44,44,0.2799999999999998,23.85000000000001,False,False,False,1.0,1.8646647167633872,1.8646647167633872,69,0,37.2,5,0.15,3.08,2.8000000000000003
67,Sunny,6,3,43,43,-0.019999999999999574,23.83000000000001,False,False,False,1.0,1.77686983985157,1.77686983985157,70,0,39.6,5,0.15,2.58,2.5999999999999996
68,Sunny,9,2,57,0,-3.15,20.68000000000001,False,True,False,0.1,1.6321205588285577,0.16321205588285578,0,0,32.4,5,0.15,0.0,3.15
69,Hot,7,7,63,63,0.20999999999999996,20.89000000000001,False,False,False,2.0,1.9698026165776814,3.939605233155363,146,0,37.2,5,0.15,4.41,4.2
70,Hot,14,7,80,60,3.3500000000000005,24.240000000000013,False,False,False,2.0,1.9698026165776814,3.939605233155363,60,0,15.306122448979592,5,0.15,8.4,5.05
71,Sunny,6,5,45,45,-0.2999999999999998,23.940000000000012,False,False,False,1.0,1.9179150013761013,1.9179150013761013,75,0,39.6,5,0.15,2.7,3.0
72,Hot,7,0,63,63,1.2600000000000002,25.200000000000014,False,False,False,2.0,1.0,2.0,74,0,37.2,5,0.15,4.41,3.15
73,Sunny,7,2,53,53,0.7600000000000002,25.960000000000015,False,False,False,1.0,1.6321205588285577,1.6321205588285577,60,0,37.2,5,0.15,3.71,2.9499999999999997
74,Cloudy,6,3,61,28,-1.82,24.140000000000015,False,False,False,0.4,1.77686983985157,0.7107479359406281,28,60,39.6,5,0.15,1.68,3.5
75,Sunny,8,4,46,46,0.7800000000000002,24.920000000000016,False,False,False,1.0,1.8646647167633872,1.8646647167633872,64,0,34.8,5,0.15,3.68,2.9
76,Sunny,7,2,46,46,0.6200000000000006,25.540000000000017,False,False,False,1.0,1.6321205588285577,1.6321205588285577,60,0,37.2,5,0.15,3.22,2.5999999999999996
77,Sunny,10,3,46,46,1.8499999999999996,27.390000000000015,False,False,False,1.0,1.77686983985157,1.77686983985157,53,0,30.0,5,0.15,4.6,2.75
78,Sunny,7,5,42,0,-2.85,24.540000000000013,False,True,False,0.1,1.9179150013761013,0.19179150013761015,0,0,37.2,5,0.15,0.0,2.85
79,Hot,7,1,116,103,1.2599999999999998,25.80000000000001,False,False,False,2.0,1.3934693402873666,2.786938680574733,103,0,37.2,5,0.15,7.21,5.95
80,Sunny,6,4,49,49,-0.11000000000000032,25.690000000000012,False,False,False,1.0,1.8646647167633872,1.8646647167633872,73,0,39.6,5,0.15,2.94,3.0500000000000003
81,Hot,13,3,66,63,4.4399999999999995,30.13000000000001,False,False,False,2.0,1.77686983985157,3.55373967970314,63,0,17.75147928994083,5,0.15,8.19,3.75
82,Sunny,7,2,58,58,0.8599999999999999,30.99000000000001,False,True,True,0.1,1.6321205588285577,0.16321205588285578,58,0,37.2,5,0.15,4.06,3.1999999999999997
83,Sunny,11,1,53,34,0.9400000000000004,31.93000000000001,False,False,False,1.0,1.3934693402873666,1.3934693402873666,34,0,24.793388429752067,5,0.15,3.74,2.8
84,Sunny,9,0,51,0,-2.55,29.38000000000001,False,True,False,0.1,1.0,0.1,0,0,32.4,5,0.15,0.0,2.55
85,Sunny,9,1,44,0,-2.35,27.03000000000001,False,True,False,0.1,1.3934693402873666,0.13934693402873666,0,0,32.4,5,0.15,0.0,2.35
86,Sunny,8,2,41,41,0.9300000000000002,27.960000000000008,False,False,False,1.0,1.6321205588285577,1.6321205588285577,56,0,34.8,5,0.15,3.28,2.3499999999999996
87,Hot,9,6,133,126,3.789999999999999,31.750000000000007,False,False,False,2.0,1.950212931632136,3.900425863264272,126,0,32.4,5,0.15,11.34,7.550000000000001
88,Sunny,8,1,55,48,0.94,32.690000000000005,False,False,False,1.0,1.3934693402873666,1.3934693402873666,48,0,34.8,5,0.15,3.84,2.9
89,Sunny,10,0,57,30,0.1499999999999999,32.84,False,False,True,1.0,1.0,1.0,30,0,30.0,5,0.15,3.0,2.85
90,Sunny,7,2,55,0,-3.05,29.790000000000003,False,True,False,0.1,1.6321205588285577,0.16321205588285578,0,0,37.2,5,0.15,0.0,3.05
91,Sunny,9,4,49,49,1.3599999999999999,31.150000000000002,False,False,False,1.0,1.8646647167633872,1.8646647167633872,60,0,32.4,5,0.15,4.41,3.0500000000000003
92,Sunny,8,1,46,0,-2.4499999999999997,28.700000000000003,False,True,False,0.1,1.3934693402873666,0.13934693402873666,0,0,34.8,5,0.15,0.0,2.4499999999999997
93,Sunny,8,3,47,47,0.96,29.660000000000004,False,False,False,1.0,1.77686983985157,1.77686983985157,61,0,34.8,5,0.15,3.76,2.8
94,Sunny,10,1,53,41,1.2999999999999998,30.960000000000004,False,False,False,1.0,1.3934693402873666,1.3934693402873666,41,0,30.0,5,0.15,4.1,2.8
95,Cloudy,6,2,63,19,-2.3099999999999996,28.650000000000006,False,False,False,0.30000000000000004,1.6321205588285577,0.4896361676485674,19,70,39.6,5,0.15,1.14,3.4499999999999997
96,Hot,6,6,93,93,0.02999999999999936,28.680000000000007,False,False,False,2.0,1.950212931632136,3.900425863264272,154,0,39.6,5,0.15,5.58,5.550000000000001
97,Sunny,10,5,42,42,1.35,30.03000000000001,False,False,True,1.0,1.9179150013761013,1.9179150013761013,57,0,30.0,5,0.15,4.2,2.85
98,Sunny,10,5,56,0,-3.55,26.480000000000008,False,True,False,0.1,1.9179150013761013,0.19179150013761015,0,0,30.0,5,0.15,0.0,3.55
99,Sunny,11,2,47,40,1.7500000000000004,28.230000000000008,False,False,False,1.0,1.6321205588285577,1.6321205588285577,40,0,24.793388429752067,5,0.15,4.4,2.65
100,Sunny,11,0,57,24,-0.20999999999999996,28.020000000000007,False,False,False,1.0,1.0,1.0,24,0,24.793388429752067,5,0.15,2.64,2.85
101,Hot,10,2,113,97,3.749999999999999,31.770000000000007,False,False,False,2.0,1.6321205588285577,3.2642411176571153,97,0,30.0,5,0.15,9.7,5.95
102,Hot,11,2,112,80,2.9000000000000012,34.67000000000001,False,False,False,2.0,1.6321205588285577,3.2642411176571153,80,0,24.793388429752067,5,0.15,8.8,5.8999999999999995
103,Cloudy,7,0,29,14,-0.47,34.20000000000001,False,False,False,0.4,1.0,0.4,14,60,37.2,5,0.15,0.98,1.45
104,Cloudy,6,2,58,25,-1.6999999999999997,32.50000000000001,False,False,False,0.4,1.6321205588285577,0.6528482235314231,25,60,39.6,5,0.15,1.5,3.1999999999999997
105,Sunny,7,3,48,48,0.5100000000000002,33.010000000000005,False,False,False,1.0,1.77686983985157,1.77686983985157,66,0,37.2,5,0.15,3.36,2.8499999999999996
106,Sunny,11,2,47,0,-2.65,30.360000000000007,False,True,False,0.1,1.6321205588285577,0.16321205588285578,0,0,24.793388429752067,5,0.15,0.0,2.65
107,Sunny,8,5,43,0,-2.9,27.460000000000008,False,True,False,0.1,1.9179150013761013,0.19179150013761015,0,0,34.8,5,0.15,0.0,2.9
108,Sunny,7,4,47,47,0.33999999999999986,27.800000000000008,False,False,True,1.0,1.8646647167633872,1.8646647167633872,69,0,37.2,5,0.15,3.29,2.95
109,Cloudy,6,1,32,27,-0.1299999999999999,27.67000000000001,False,False,False,0.5,1.3934693402873666,0.6967346701436833,27,50,39.6,5,0.15,1.62,1.75
110,Sunny,9,4,40,40,1.0,28.67000000000001,False,False,False,1.0,1.8646647167633872,1.8646647167633872,60,0,32.4,5,0.15,3.6,2.6
111,Sunny,9,3,40,40,1.15,29.820000000000007,False,False,False,1.0,1.77686983985157,1.77686983985157,57,0,32.4,5,0.15,3.6,2.45
112,Sunny,8,5,43,43,0.54,30.360000000000007,False,False,False,1.0,1.9179150013761013,1.9179150013761013,66,0,34.8,5,0.15,3.44,2.9
113,Sunny,6,4,40,40,-0.20000000000000018,30.160000000000007,False,False,False,1.0,1.8646647167633872,1.8646647167633872,73,0,39.6,5,0.15,2.4,2.6
114,Sunny,10,3,48,48,1.9500000000000002,32.11000000000001,False,False,False,1.0,1.77686983985157,1.77686983985157,53,0,30.0,5,0.15,4.8,2.8499999999999996
115,Cloudy,7,2,50,30,-0.6999999999999997,31.410000000000007,False,False,False,0.5,1.6321205588285577,0.8160602794142788,30,50,37.2,5,0.15,2.1,2.8
116,Sunny,11,3,49,49,2.4899999999999993,33.900000000000006,False,True,True,0.1,1.77686983985157,0.17768698398515703,49,0,24.793388429752067,5,0.15,5.39,2.9000000000000004
117,Sunny,11,2,50,40,1.6000000000000005,35.50000000000001,False,False,False,1.0,1.6321205588285577,1.6321205588285577,40,0,24.793388429752067,5,0.15,4.4,2.8
118,Sunny,7,3,46,46,0.4700000000000002,35.970000000000006,False,False,False,1.0,1.77686983985157,1.77686983985157,66,0,37.2,5,0.15,3.22,2.75
119,Sunny,11,5,59,47,1.4699999999999998,37.440000000000005,False,False,False,1.0,1.9179150013761013,1.9179150013761013,47,0,24.793388429752067,5,0.15,5.17,3.7
120,Sunny,6,4,51,0,-3.15,34.290000000000006,False,True,False,0.1,1.8646647167633872,0.18646647167633873,0,0,39.6,5,0.15,0.0,3.15
121,Cloudy,6,2,38,38,0.08000000000000007,34.370000000000005,False,False,False,0.7,1.6321205588285577,1.1424843911799902,45,30,39.6,5,0.15,2.28,2.1999999999999997
122,Sunny,10,2,44,44,1.9000000000000004,36.27,False,False,False,1.0,1.6321205588285577,1.6321205588285577,48,0,30.0,5,0.15,4.4,2.5
123,Sunny,9,5,46,46,1.0899999999999999,37.36,False,False,False,1.0,1.9179150013761013,1.9179150013761013,62,0,32.4,5,0.15,4.14,3.05
124,Cloudy,9,3,62,23,-1.48,35.88,False,False,False,0.4,1.77686983985157,0.7107479359406281,23,60,32.4,5,0.15,2.07,3.55
125,Cloudy,7,3,54,26,-1.3300000000000003,34.550000000000004,False,False,False,0.4,1.77686983985157,0.7107479359406281,26,60,37.2,5,0.15,1.82,3.1500000000000004
126,Hot,13,4,127,66,1.6300000000000008,36.18000000000001,False,False,False,2.0,1.8646647167633872,3.7293294335267744,66,0,17.75147928994083,5,0.15,8.58,6.949999999999999
127,Hot,11,7,72,72,3.2699999999999996,39.45,False,False,False,2.0,1.9698026165776814,3.939605233155363,97,0,24.793388429752067,5,0.15,7.92,4.65
128,Cloudy,7,0,25,25,0.5,39.95,False,False,False,0.7,1.0,0.7,26,30,37.2,5,0.15,1.75,1.25
129,Sunny,7,3,45,45,0.44999999999999973,40.400000000000006,False,False,False,1.0,1.77686983985157,1.77686983985157,66,0,37.2,5,0.15,3.15,2.7
130,Sunny,9,3,45,0,-2.7,37.7,False,True,False,0.1,1.77686983985157,0.17768698398515703,0,0,32.4,5,0.15,0.0,2.7
131,Hot,11,3,102,88,4.13,41.830000000000005,False,False,False,2.0,1.77686983985157,3.55373967970314,88,0,24.793388429752067,5,0.15,9.68,5.55
132,Sunny,11,2,52,40,1.5000000000000004,43.330000000000005,False,False,False,1.0,1.6321205588285577,1.6321205588285577,40,0,24.793388429752067,5,0.15,4.4,2.9
133,Hot,7,3,126,126,2.0700000000000003,45.400000000000006,False,False,False,2.0,1.77686983985157,3.55373967970314,132,0,37.2,5,0.15,8.82,6.75
134,Hot,14,1,71,42,2.18,47.580000000000005,False,False,False,2.0,1.3934693402873666,2.786938680574733,42,0,15.306122448979592,5,0.15,5.88,3.6999999999999997
135,Sunny,10,4,54,54,2.1,49.68000000000001,False,False,False,1.0,1.8646647167633872,1.8646647167633872,55,0,30.0,5,0.15,5.4,3.3000000000000003
136,Sunny,7,1,40,40,0.6499999999999999,50.330000000000005,False,False,False,1.0,1.3934693402873666,1.3934693402873666,51,0,37.2,5,0.15,2.8,2.15
137,Sunny,10,2,42,42,1.8000000000000003,52.13,False,False,False,1.0,1.6321205588285577,1.6321205588285577,48,0,30.0,5,0.15,4.2,2.4
138,Sunny,9,3,54,54,1.71,53.84,False,False,False,1.0,1.77686983985157,1.77686983985157,57,0,32.4,5,0.15,4.86,3.1500000000000004
139,Cloudy,6,1,14,14,-0.010000000000000009,53.830000000000005,False,False,False,0.30000000000000004,1.3934693402873666,0.41804080208621003,16,70,39.6,5,0.15,0.84,0.85
140,Sunny,6,0,57,39,-0.5100000000000002,53.32000000000001,False,False,False,1.0,1.0,1.0,39,0,39.6,5,0.15,2.34,2.85
141,Sunny,10,3,45,45,1.7999999999999998,55.120000000000005,False,False,False,1.0,1.77686983985157,1.77686983985157,53,0,30.0,5,0.15,4.5,2.7
142,Sunny,6,0,54,39,-0.3600000000000003,54.760000000000005,False,False,True,1.0,1.0,1.0,39,0,39.6,5,0.15,2.34,2.7
143,Sunny,11,1,42,34,1.4900000000000002,56.25000000000001,False,False,False,1.0,1.3934693402873666,1.3934693402873666,34,0,24.793388429752067,5,0.15,3.74,2.25
144,Sunny,10,2,55,55,2.45,58.70000000000001,False,True,True,0.1,1.6321205588285577,0.16321205588285578,55,0,30.0,5,0.15,5.5,3.05
145,Hot,14,7,67,60,4.0,62.70000000000001,False,False,False,2.0,1.9698026165776814,3.939605233155363,60,0,15.306122448979592,5,0.15,8.4,4.4
146,Sunny,9,0,43,32,0.73,63.43000000000001,False,False,True,1.0,1.0,1.0,32,0,32.4,5,0.15,2.88,2.15
147,Hot,6,7,61,61,-0.4399999999999995,62.99000000000001,False,False,False,2.0,1.9698026165776814,3.939605233155363,156,0,39.6,5,0.15,3.66,4.1
148,Hot,14,2,129,49,0.11000000000000032,63.10000000000001,False,False,False,2.0,1.6321205588285577,3.2642411176571153,49,0,15.306122448979592,5,0.15,6.86,6.75
149,Sunny,9,3,57,57,1.83,64.93,False,False,False,1.0,1.77686983985157,1.77686983985157,57,0,32.4,5,0.15,5.13,3.3
150,Hot,6,4,68,68,0.08000000000000007,65.01,False,False,False,2.0,1.8646647167633872,3.7293294335267744,147,0,39.6,5,0.15,4.08,4.0
151,Hot,14,4,149,57,-0.07000000000000028,64.94,False,False,False,2.0,1.8646647167633872,3.7293294335267744,57,0,15.306122448979592,5,0.15,7.98,8.05
152,Cloudy,9,0,32,0,-1.6,63.339999999999996,True,False,False,0.4,1.0,0.4,0,60,32.4,5,0.15,0.0,1.6
153,Sunny,6,2,55,55,0.25,63.589999999999996,False,False,False,1.0,1.6321205588285577,1.6321205588285577,64,0,39.6,5,0.15,3.3,3.05
154,Cloudy,9,2,59,15,-1.9,61.69,False,False,False,0.30000000000000004,1.6321205588285577,0.4896361676485674,15,70,32.4,5,0.15,1.35,3.25
155,Hot,13,7,105,69,2.670000000000001,64.36,False,False,False,2.0,1.9698026165776814,3.939605233155363,69,0,17.75147928994083,5,0.15,8.97,6.3
156,Cloudy,9,3,34,28,0.3700000000000001,64.73,False,False,False,0.5,1.77686983985157,0.888434919925785,28,50,32.4,5,0.15,2.52,2.15
157,Cloudy,8,1,9,0,-0.6,64.13000000000001,True,False,False,0.30000000000000004,1.3934693402873666,0.41804080208621003,0,70,34.8,5,0.15,0.0,0.6
158,Sunny,11,2,41,40,2.0500000000000007,66.18,False,False,False,1.0,1.6321205588285577,1.6321205588285577,40,0,24.793388429752067,5,0.15,4.4,2.3499999999999996
159,Cloudy,8,0,17,0,-0.85,65.33000000000001,True,False,False,0.7,1.0,0.7,0,30,34.8,5,0.15,0.0,0.85
160,Sunny,7,1,58,0,-3.05,62.280000000000015,False,True,False,0.1,1.3934693402873666,0.13934693402873666,0,0,37.2,5,0.15,0.0,3.05
161,Sunny,6,4,55,55,-0.050000000000000266,62.23000000000002,False,False,False,1.0,1.8646647167633872,1.8646647167633872,73,0,39.6,5,0.15,3.3,3.35
162,Hot,6,2,158,129,-0.46000000000000085,61.77000000000002,False,False,False,2.0,1.6321205588285577,3.2642411176571153,129,0,39.6,5,0.15,7.74,8.200000000000001
163,Sunny,6,2,48,48,0.18000000000000016,61.95000000000002,False,False,False,1.0,1.6321205588285577,1.6321205588285577,64,0,39.6,5,0.15,2.88,2.6999999999999997
164,Hot,6,4,140,140,0.8000000000000007,62.750000000000014,False,False,False,2.0,1.8646647167633872,3.7293294335267744,147,0,39.6,5,0.15,8.4,7.6
165,Sunny,10,3,59,53,1.8999999999999995,64.65000000000002,False,False,False,1.0,1.77686983985157,1.77686983985157,53,0,30.0,5,0.15,5.3,3.4000000000000004
166,Sunny,8,1,47,47,1.2599999999999998,65.91000000000003,False,False,True,1.0,1.3934693402873666,1.3934693402873666,48,0,34.8,5,0.15,3.76,2.5
167,Sunny,8,2,45,45,1.0500000000000003,66.96000000000002,False,False,False,1.0,1.6321205588285577,1.6321205588285577,56,0,34.8,5,0.15,3.6,2.55
168,Sunny,11,2,58,40,1.2000000000000006,68.16000000000003,False,False,False,1.0,1.6321205588285577,1.6321205588285577,40,0,24.793388429752067,5,0.15,4.4,3.1999999999999997
169,Hot,11,0,53,49,2.7399999999999998,70.90000000000002,False,False,False,2.0,1.0,2.0,49,0,24.793388429752067,5,0.15,5.39,2.65
